Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
"Block, Tromp and Johnston",Netherlands,52.370216,4.895168,Agriculture & Mining,Micro (1-10),Kevin Anderson,22/03/2024,SAAS,Sales Accepted,4,,,244,50,03/01/2025,,,
"Johnson, Kiehn and Walsh",Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),David Wilson,13/01/2024,Custom solution,Sales Accepted,4,,,223,90,13/09/2024,,,
Smith and Sons,Austria,48.210033,16.363449,Transportation & Logistics,Micro (1-10),Michael Brown,20/04/2024,Services,Sales Accepted,4,,,370,40,07/02/2025,,,
Spencer-Jacobs,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),John Smith,24/04/2024,Custom solution,Sales Accepted,4,,,1049,30,07/10/2024,,,
"Wolf, Kozey and Olson",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),David Wilson,02/05/2024,Services,Sales Accepted,4,,,380,20,19/09/2024,,,
Runolfsdottir and Sons,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Laura Thompson,25/02/2024,Custom solution,Sales Accepted,4,,,1199,20,06/08/2024,,,
Orn-Green,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Laura Thompson,25/02/2024,SAAS,Sales Accepted,4,,,510,50,22/08/2024,,,
Braun-Denesik,Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),Emily Johnson,29/01/2024,SAAS,Sales Accepted,4,,,407,50,19/02/2024,,,
Tromp-Jacobs,Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Emily Johnson,12/04/2024,SAAS,Sales Accepted,4,,,299,30,13/03/2025,,,
Morar-Lebsack,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Jessica Martinez,17/01/2024,SAAS,Sales Accepted,4,,,706,20,11/05/2024,,,
"Gislason, Dare and Yundt",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Laura Thompson,02/05/2024,SAAS,Sales Accepted,4,,,766,40,18/06/2024,,,
"Lehner, Jacobson and Brakus",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,05/04/2024,SAAS,Sales Accepted,4,,,496,60,28/02/2025,,,
"Homenick, Barton and Mayert",Spain,40.416775,-3.703790,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,29/05/2024,Services,Sales Accepted,4,,,917,20,28/06/2024,,,
"VonRueden, Hayes and Conn",Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Michael Brown,08/05/2024,SAAS,Sales Accepted,4,,,656,40,08/06/2024,,,
Nitzsche-Reichel,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Kevin Anderson,15/03/2024,Custom solution,Sales Accepted,4,,,996,70,27/12/2024,,,
"Mosciski, Wisozk and Hamill",Switzerland,46.204391,6.143158,Professional Services  & Consulting,Micro (1-10),Sarah Davis,14/05/2024,Services,Sales Accepted,4,,,428,30,05/09/2024,,,
Buckridge-Langosh,France,48.864716,2.349014,IT & IT Services,Micro (1-10),Michael Brown,10/01/2024,SAAS,Sales Accepted,4,,,562,20,19/08/2024,,,
"Hessel, Ward and Bernhard",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Michael Brown,08/01/2024,Custom solution,Sales Accepted,4,,,786,50,19/08/2024,,,
"Huels, Kutch and Gorczany",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Jessica Martinez,04/04/2024,SAAS,Sales Accepted,4,,,827,40,17/02/2025,,,
Stehr LLC,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Emily Johnson,13/04/2024,Services,Sales Accepted,4,,,1021,60,16/01/2025,,,
Casper-Bahringer,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,25/01/2024,Services,Sales Accepted,4,,,509,40,13/03/2024,,,
"DuBuque, Cormier and Reichel",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Sarah Davis,20/01/2024,Services,Sales Accepted,4,,,883,40,21/07/2024,,,
Welch LLC,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Sarah Davis,19/05/2024,SAAS,Sales Accepted,4,,,500,30,19/04/2025,,,
"Keeling, Miller and Rolfson",Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Sarah Davis,28/03/2024,Custom solution,Sales Accepted,4,,,891,90,07/03/2025,,,
"Smith, Daniel and Bruen",Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Sarah Davis,14/05/2024,Custom solution,Sales Accepted,4,,,811,20,10/04/2025,,,
Windler Group,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Laura Thompson,29/01/2024,Services,Sales Accepted,4,,,993,20,19/08/2024,,,
Moore Inc,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),David Wilson,30/04/2024,Custom solution,Sales Accepted,4,,,1083,50,03/01/2025,,,
Herzog-Jacobi,Spain,40.416775,-3.703790,Transportation & Logistics,Micro (1-10),Laura Thompson,28/04/2024,Services,Sales Accepted,4,,,928,50,19/02/2025,,,
"Murazik, Johnson and Roob",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Jessica Martinez,19/04/2024,SAAS,Sales Accepted,4,,,307,30,10/01/2025,,,
"Koss, Reilly and Monahan",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),John Smith,02/04/2024,SAAS,Sales Accepted,4,,,697,60,03/11/2024,,,
"Douglas, Kulas and Roberts",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Laura Thompson,07/04/2024,Services,Sales Accepted,4,,,451,30,27/05/2024,,,
"Jacobs, Fay and Konopelski",Switzerland,46.204391,6.143158,Banking and Finance,Micro (1-10),Laura Thompson,25/01/2024,Custom solution,Sales Accepted,4,,,1160,20,29/07/2024,,,
Dooley-Walker,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,12/05/2024,SAAS,Sales Accepted,4,,,790,30,19/03/2025,,,
"Connelly, Tillman and Smith",France,48.864716,2.349014,Banking and Finance,Micro (1-10),Emily Johnson,10/01/2024,SAAS,Sales Accepted,4,,,1196,20,04/07/2024,,,
Emard-Hartmann,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Emily Johnson,28/02/2024,Services,Sales Accepted,4,,,915,30,18/12/2024,,,
Schaden-Bauch,Austria,48.210033,16.363449,IT & IT Services,Micro (1-10),Laura Thompson,27/03/2024,Services,Sales Accepted,4,,,1075,30,19/02/2025,,,
Hartmann LLC,Switzerland,46.204391,6.143158,Energy & Utilities,Micro (1-10),Jessica Martinez,18/04/2024,SAAS,Sales Accepted,4,,,789,20,07/11/2024,,,
Wehner-Kuphal,Belgium,51.260197,4.402771,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,16/02/2024,SAAS,Sales Accepted,4,,,492,30,27/04/2024,,,
Mydeo,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Emily Johnson,23/02/2024,Services,Sales Accepted,4,,,1940,40,08/12/2024,,,
Tazzy,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Michael Brown,03/02/2024,Custom solution,Sales Accepted,4,,,6881,20,25/06/2024,,,
Roomm,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Kevin Anderson,06/04/2024,SAAS,Sales Accepted,4,,,1944,30,16/01/2025,,,
Plambee,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Kevin Anderson,29/03/2024,Services,Sales Accepted,4,,,7599,60,06/06/2024,,,
Agivu,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Laura Thompson,16/01/2024,Custom solution,Sales Accepted,4,,,4083,10,18/03/2024,,,
Browsebug,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),John Smith,26/03/2024,Custom solution,Sales Accepted,4,,,6631,40,08/12/2024,,,
Fadeo,Italy,41.902782,12.496366,Education & Science,Medium (201-500),David Wilson,18/04/2024,SAAS,Sales Accepted,4,,,3675,60,10/11/2024,,,
Bluejam,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),David Wilson,18/03/2024,Custom solution,Sales Accepted,4,,,6491,20,07/12/2024,,,
Kazu,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Sarah Davis,30/04/2024,Services,Sales Accepted,4,,,666,90,15/02/2025,,,
Eayo,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,21/05/2024,SAAS,Sales Accepted,4,,,6272,90,20/09/2024,,,
LiveZ,Switzerland,46.204391,6.143158,Energy & Utilities,Medium (201-500),Michael Brown,14/05/2024,Services,Sales Accepted,4,,,6217,90,18/07/2024,,,
Brainbox,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,13/02/2024,SAAS,Sales Accepted,4,,,3368,80,11/07/2024,,,
Mymm,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Michael Brown,27/05/2024,Services,Sales Accepted,4,,,6401,40,28/10/2024,,,
Oyonder,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Kevin Anderson,17/02/2024,Custom solution,Sales Accepted,4,,,6003,50,26/07/2024,,,
Skinder,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Laura Thompson,27/01/2024,Services,Sales Accepted,4,,,4630,60,20/04/2024,,,
Minyx,Belgium,51.260197,4.402771,Manufacturing & Production,Medium (201-500),David Wilson,29/05/2024,Custom solution,Sales Accepted,4,,,1412,20,12/05/2025,,,
Ooba,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),John Smith,10/01/2024,Custom solution,Sales Accepted,4,,,7814,50,17/09/2024,,,
Zoomlounge,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Jessica Martinez,22/05/2024,SAAS,Sales Accepted,4,,,7896,20,23/12/2024,,,
Tazz,Switzerland,46.204391,6.143158,Government Administration Healthcare,Medium (201-500),Laura Thompson,22/04/2024,Custom solution,Sales Accepted,4,,,2922,30,31/05/2024,,,
Dynazzy,France,48.864716,2.349014,Energy & Utilities,Medium (201-500),David Wilson,17/01/2024,SAAS,Sales Accepted,4,,,5709,30,29/02/2024,,,
Wikibox,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,02/02/2024,Custom solution,Sales Accepted,4,,,1102,30,26/10/2024,,,
Tagcat,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Sarah Davis,18/02/2024,Custom solution,Sales Accepted,4,,,3809,30,13/10/2024,,,
Quimm,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),John Smith,04/05/2024,Services,Sales Accepted,4,,,3896,20,14/09/2024,,,
Mita,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Jessica Martinez,22/05/2024,Services,Sales Accepted,4,,,6990,50,12/03/2025,,,
Devcast,Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),Michael Brown,27/05/2024,SAAS,Sales Accepted,4,,,6435,50,12/04/2025,,,
Yombu,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,19/01/2024,Services,Sales Accepted,4,,,3314,40,09/01/2025,,,
Janyx,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Jessica Martinez,15/04/2024,Services,Sales Accepted,4,,,5389,50,15/07/2024,,,
Avamba,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Laura Thompson,24/05/2024,SAAS,Sales Accepted,4,,,6440,30,14/04/2025,,,
Eidel,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),John Smith,24/02/2024,SAAS,Sales Accepted,4,,,6018,100,05/05/2024,,,
Zoozzy,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Michael Brown,23/03/2024,Services,Sales Accepted,4,,,7288,30,23/10/2024,,,
Omba,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Sarah Davis,19/04/2024,SAAS,Sales Accepted,4,,,1568,60,25/11/2024,,,
Thoughtbridge,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Michael Brown,07/02/2024,Custom solution,Sales Accepted,4,,,2820,90,21/11/2024,,,
Skidoo,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Jessica Martinez,24/02/2024,Custom solution,Sales Accepted,4,,,556,50,02/11/2024,,,
Tagtune,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,20/04/2024,Custom solution,Sales Accepted,4,,,3396,40,02/10/2024,,,
Edgewire,France,48.864716,2.349014,Telecommunications,Medium (201-500),David Wilson,07/01/2024,SAAS,Sales Accepted,4,,,3793,100,15/02/2024,,,
Kamba,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Michael Brown,25/01/2024,Custom solution,Sales Accepted,4,,,3275,20,16/09/2024,,,
Vitz,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Laura Thompson,22/05/2024,Services,Sales Accepted,4,,,7618,30,01/03/2025,,,
Twiyo,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,16/05/2024,Custom solution,Sales Accepted,4,,,1240,70,15/07/2024,,,
Lazzy,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),David Wilson,14/03/2024,Custom solution,Sales Accepted,4,,,2040,40,31/10/2024,,,
Miboo,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Michael Brown,02/03/2024,Custom solution,Sales Accepted,4,,,4371,10,25/11/2024,,,
Jabbertype,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,20/05/2024,Services,Sales Accepted,4,,,6865,80,25/12/2024,,,
Izio,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Kevin Anderson,14/05/2024,SAAS,Sales Accepted,4,,,1037,40,13/11/2024,,,
"Stamm, Hintz and Smith",Netherlands,52.370216,4.895168,Manufacturing & Production,Medium (201-500),Laura Thompson,14/05/2024,Custom solution,Sales Accepted,4,,,3278,90,30/06/2024,,,
"Armstrong, Murphy and Mosciski",Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Emily Johnson,29/01/2024,Services,Sales Accepted,4,,,7181,40,30/05/2024,,,
Kshlerin Inc,Spain,40.416775,-3.703790,Entertainment & Media & Hospitality,Medium (201-500),Kevin Anderson,02/05/2024,SAAS,Sales Accepted,4,,,3474,70,04/10/2024,,,
Cartwright-O'Reilly,Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),David Wilson,27/01/2024,Services,Sales Accepted,4,,,6180,40,02/06/2024,,,
"Koss, Buckridge and Ritchie",Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),John Smith,15/05/2024,Services,Sales Accepted,4,,,2254,50,03/12/2024,,,
"Konopelski, Lebsack and Breitenberg",Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),John Smith,15/01/2024,SAAS,Sales Accepted,4,,,1610,60,13/08/2024,,,
Stokes Inc,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,29/01/2024,Services,Sales Accepted,4,,,2244,20,01/03/2024,,,
Schinner LLC,Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Jessica Martinez,05/05/2024,SAAS,Sales Accepted,4,,,1607,50,30/10/2024,,,
Kovacek Inc,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Emily Johnson,26/04/2024,Custom solution,Sales Accepted,4,,,3843,30,27/05/2024,,,
"Nienow, Kris and Lehner",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,24/02/2024,SAAS,Sales Accepted,4,,,630,40,31/01/2025,,,
"Larson, Rutherford and Boyer",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Jessica Martinez,13/04/2024,SAAS,Sales Accepted,4,,,3866,60,06/05/2024,,,
McCullough-Wuckert,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,06/05/2024,Services,Sales Accepted,4,,,4358,30,07/06/2024,,,
Cruickshank Inc,Netherlands,52.370216,4.895168,Government Administration Healthcare,Medium (201-500),Michael Brown,03/05/2024,Services,Sales Accepted,4,,,1808,80,07/01/2025,,,
"Wolf, Lakin and Hodkiewicz",France,48.864716,2.349014,Recreation & Sports,Medium (201-500),David Wilson,22/05/2024,Custom solution,Sales Accepted,4,,,6476,20,07/08/2024,,,
Okuneva and Sons,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Sarah Davis,17/01/2024,SAAS,Sales Accepted,4,,,4366,10,08/06/2024,,,
Schneider LLC,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Medium (201-500),Laura Thompson,19/05/2024,Services,Sales Accepted,4,,,4420,30,08/07/2024,,,
Weimann and Sons,Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Michael Brown,07/05/2024,Services,Sales Accepted,4,,,1393,60,20/12/2024,,,
"Bins, Jaskolski and Dach",Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Michael Brown,05/01/2024,Custom solution,Sales Accepted,4,,,3648,30,03/02/2024,,,
"Hodkiewicz, Corwin and West",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Laura Thompson,27/03/2024,Services,Sales Accepted,4,,,4612,20,05/09/2024,,,
Rodriguez-Howell,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Michael Brown,16/02/2024,SAAS,Sales Accepted,4,,,5992,20,31/03/2024,,,
"Auer, Spencer and Schumm",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Kevin Anderson,29/04/2024,SAAS,Sales Accepted,4,,,7591,30,20/02/2025,,,
"Daniel, Torp and Homenick",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,14/02/2024,Services,Sales Accepted,4,,,1158,20,21/12/2024,,,
"Wiegand, Kassulke and McClure",Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),Jessica Martinez,17/05/2024,SAAS,Sales Accepted,4,,,5723,20,02/11/2024,,,
"Bode, Streich and Howe",Belgium,51.260197,4.402771,IT & IT Services,Medium (201-500),Kevin Anderson,24/04/2024,Custom solution,Sales Accepted,4,,,4941,30,21/10/2024,,,
Buckridge LLC,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Emily Johnson,26/03/2024,SAAS,Sales Accepted,4,,,3814,60,16/05/2024,,,
Romaguera-Legros,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Jessica Martinez,01/03/2024,Services,Sales Accepted,4,,,6893,50,21/09/2024,,,
"Walter, Nader and Wintheiser",Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Michael Brown,14/01/2024,Services,Sales Accepted,4,,,3543,40,31/07/2024,,,
Ankunding-Harber,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,30/05/2024,Services,Sales Accepted,4,,,3909,40,17/07/2024,,,
"Funk, Rath and Gottlieb",Austria,48.210033,16.363449,Government Administration Healthcare,Medium (201-500),Michael Brown,03/01/2024,Services,Sales Accepted,4,,,981,90,05/09/2024,,,
Cassin-Schamberger,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Laura Thompson,27/03/2024,Services,Sales Accepted,4,,,784,20,13/06/2024,,,
"Bradtke, Ebert and Greenfelder",Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Sarah Davis,31/01/2024,Services,Sales Accepted,4,,,3108,30,23/03/2024,,,
McCullough-Abshire,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Michael Brown,23/01/2024,Services,Sales Accepted,4,,,5558,20,20/09/2024,,,
Shanahan-Erdman,Belgium,51.260197,4.402771,Manufacturing & Production,Medium (201-500),Laura Thompson,15/01/2024,SAAS,Sales Accepted,4,,,1260,50,08/04/2024,,,
Upton LLC,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Jessica Martinez,03/05/2024,Custom solution,Sales Accepted,4,,,5207,70,11/03/2025,,,
"Metz, Anderson and McCullough",Switzerland,46.204391,6.143158,Energy & Utilities,Medium (201-500),Laura Thompson,04/04/2024,Custom solution,Sales Accepted,4,,,1503,80,08/09/2024,,,
"Lakin, Bosco and Von",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),John Smith,10/02/2024,SAAS,Sales Accepted,4,,,6987,30,01/05/2024,,,
"Halvorson, Schaefer and D'Amore",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Medium (201-500),Emily Johnson,29/03/2024,Services,Sales Accepted,4,,,357,80,23/06/2024,,,
Hettinger and Sons,France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Emily Johnson,06/01/2024,Custom solution,Sales Accepted,4,,,5253,50,07/02/2024,,,
Baumbach LLC,France,48.864716,2.349014,Education & Science,Medium (201-500),Jessica Martinez,15/01/2024,Custom solution,Sales Accepted,4,,,5864,20,29/07/2024,,,
Effertz-Jaskolski,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,27/05/2024,SAAS,Sales Accepted,4,,,2138,20,16/08/2024,,,
Jerde Inc,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,09/03/2024,SAAS,Sales Accepted,4,,,7070,20,29/07/2024,,,
Schoen-Kessler,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,20/05/2024,Services,Sales Accepted,4,,,3447,80,04/07/2024,,,
"Flatley, Kiehn and Blanda",France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,09/05/2024,SAAS,Sales Accepted,4,,,5824,50,08/04/2025,,,
Dicki-Yundt,Switzerland,46.204391,6.143158,Government Administration Healthcare,Medium (201-500),John Smith,11/04/2024,SAAS,Sales Accepted,4,,,6573,20,07/08/2024,,,
Kilback Group,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Kevin Anderson,28/02/2024,SAAS,Sales Accepted,4,,,3855,100,28/01/2025,,,
Ferry LLC,Switzerland,46.204391,6.143158,Recreation & Sports,Medium (201-500),Jessica Martinez,01/05/2024,SAAS,Sales Accepted,4,,,6330,30,20/06/2024,,,
"Cormier, Moore and Bogisich",Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Laura Thompson,19/01/2024,SAAS,Sales Accepted,4,,,7787,40,02/10/2024,,,
Effertz LLC,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,11/05/2024,Custom solution,Sales Accepted,4,,,4258,60,03/12/2024,,,
Conroy and Sons,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,13/02/2024,Services,Sales Accepted,4,,,4736,50,09/11/2024,,,
Emmerich-Heathcote,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,20/04/2024,Custom solution,Sales Accepted,4,,,7314,60,28/05/2024,,,
Harris LLC,Spain,40.416775,-3.703790,Agriculture & Mining,Medium (201-500),Jessica Martinez,02/02/2024,Custom solution,Sales Accepted,4,,,2102,50,30/12/2024,,,
Yost-Kessler,Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Laura Thompson,17/03/2024,Services,Sales Accepted,4,,,2771,20,04/07/2024,,,
"Orn, Schmeler and Legros",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,10/01/2024,Services,Sales Accepted,4,,,4477,60,05/07/2024,,,
"Olson, Wilderman and Dach",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,15/02/2024,Custom solution,Sales Accepted,4,,,4588,20,02/08/2024,,,
"Kulas, Halvorson and O'Reilly",Switzerland,46.204391,6.143158,Construction & Engineering,Medium (201-500),Laura Thompson,10/01/2024,Custom solution,Sales Accepted,4,,,2496,90,04/10/2024,,,
"Dibbert, Kuhn and Kling",Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),Jessica Martinez,13/02/2024,Services,Sales Accepted,4,,,2404,70,21/07/2024,,,
Cronin LLC,Germany,52.520008,13.404954,Education & Science,Medium (201-500),John Smith,23/01/2024,Services,Sales Accepted,4,,,3681,30,25/12/2024,,,
"Dooley, Schiller and Leuschke",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,17/02/2024,Services,Sales Accepted,4,,,4461,90,30/05/2024,,,
Rempel-Ferry,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Michael Brown,19/04/2024,SAAS,Sales Accepted,4,,,4787,30,16/08/2024,,,
"Simonis, Lemke and Kutch",Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Sarah Davis,06/01/2024,Services,Sales Accepted,4,,,6643,30,11/03/2024,,,
Auer-Dooley,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Emily Johnson,18/03/2024,Services,Sales Accepted,4,,,2087,50,18/03/2025,,,
Koch Inc,Switzerland,46.204391,6.143158,Recreation & Sports,Medium (201-500),Jessica Martinez,23/04/2024,Services,Sales Accepted,4,,,5674,30,16/10/2024,,,
"Kozey, Hills and Steuber",Netherlands,52.370216,4.895168,Manufacturing & Production,Medium (201-500),Jessica Martinez,24/03/2024,Services,Sales Accepted,4,,,6083,20,20/04/2024,,,
Windler and Sons,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Laura Thompson,10/01/2024,SAAS,Sales Accepted,4,,,4081,50,28/12/2024,,,
Abshire and Sons,Netherlands,52.370216,4.895168,Education & Science,Medium (201-500),Sarah Davis,12/05/2024,Services,Sales Accepted,4,,,2431,50,28/01/2025,,,
"Ward, Marks and Rolfson",Austria,48.210033,16.363449,Government Administration Healthcare,Medium (201-500),Jessica Martinez,06/04/2024,SAAS,Sales Accepted,4,,,3478,60,20/12/2024,,,
"Emmerich, Veum and Gutkowski",Belgium,51.260197,4.402771,Telecommunications,Medium (201-500),Michael Brown,08/04/2024,Services,Sales Accepted,4,,,2072,30,08/10/2024,,,
Wilderman LLC,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),John Smith,29/04/2024,Custom solution,Sales Accepted,4,,,4837,40,14/07/2024,,,
"Dooley, Cummings and Schowalter",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Sarah Davis,08/04/2024,Services,Sales Accepted,4,,,4322,50,10/02/2025,,,
Miller and Sons,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,12/02/2024,Services,Sales Accepted,4,,,3220,30,21/06/2024,,,
"Wolff, Greenfelder and Graham",Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Jessica Martinez,23/02/2024,Custom solution,Sales Accepted,4,,,4427,10,08/01/2025,,,
"Cronin, Herman and Heathcote",Belgium,51.260197,4.402771,Recreation & Sports,Medium (201-500),Laura Thompson,11/02/2024,Custom solution,Sales Accepted,4,,,6006,40,19/09/2024,,,
Rosenbaum LLC,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,14/03/2024,Services,Sales Accepted,4,,,5823,60,12/12/2024,,,
Hudson Inc,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),John Smith,20/01/2024,Services,Sales Accepted,4,,,6192,80,29/08/2024,,,
"Erdman, Rowe and Adams",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Michael Brown,01/04/2024,Custom solution,Sales Accepted,4,,,6839,80,25/08/2024,,,
Langosh-Borer,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Michael Brown,21/03/2024,Services,Sales Accepted,4,,,1169,40,20/04/2024,,,
